Seq_name;Genotype;Plant;Threatment;Distance;Time;Complete_name
Gen-001;VAD2;14;ONU;Distal;6;VAD2-14_O_D_6
Gen-003;VAD2;29;ONU;Local;6;VAD2-29_O_L_6
Gen-004;MDV1;12;ONU;Distal;144;MDV1-12_O_D_144
Gen-005;MDV1;50;ONU;Distal;6;MDV1-50_O_D_6
Gen-006;VAD2;45;ONU;Local;24;VAD2-45_O_L_24
Gen-007;MDV1;23;ONU;Distal;6;MDV1-23_O_D_6
Gen-008;MDV2.3;33;ONU;Distal;6;MDV2.3-33_O_D_6
Gen-012;MDV1;13;ONU;Distal;6;MDV1-13_O_D_6
Gen-014;VAD2;17;ONU;Distal;72;VAD2-17_O_D_72
Gen-016;MDV1;16;ONU;Local;24;MDV1-16_O_L_24
Gen-021;MDV1;9;ONU;Distal;144;MDV1-9_O_D_144
Gen-022;MDV2.3;26;ONU;Local;144;MDV2.3-26_O_L_144
Gen-024;VAD2;18;ONU;Distal;144;VAD2-18_O_D_144
Gen-026;MDV2.3;32;ONU;Local;72;MDV2.3-32_O_L_72
Gen-027;MDV1;9;ONU;Local;144;MDV1-9_O_L_144
Gen-028;MDV2.3;18;ONU;Local;6;MDV2.3-18_O_L_6
Gen-029;VAD2;23;ONU;Distal;144;VAD2-23_O_D_144
Gen-031;MDV2.3;32;ONU;Distal;72;MDV2.3-32_O_D_72
Gen-032;VAD2;28;ONU;Distal;24;VAD2-28_O_D_24
Gen-034;MDV1;18;ONU;Distal;72;MDV1-18_O_D_72
Gen-035;MDV2.3;33;ONU;Local;6;MDV2.3-33_O_L_6
Gen-036;MDV1;41;ONU;Local;24;MDV1-41_O_L_24
Gen-037;MDV2.3;21;ONU;Distal;6;MDV2.3-21_O_D_6
Gen-038;MDV1;12;ONU;Local;144;MDV1-12_O_L_144
Gen-044;MDV2.3;46;ONU;Distal;144;MDV2.3-46_O_D_144
Gen-048;MDV2.3;17;ONU;Distal;24;MDV2.3-17_O_D_24
Gen-049;MDV1;46;ONU;Local;72;MDV1-46_O_L_72
Gen-055;VAD2;33;ONU;Distal;72;VAD2-33_O_D_72
Gen-058;VAD2;17;ONU;Local;72;VAD2-17_O_L_72
Gen-059;VAD2;44;ONU;Distal;6;VAD2-44_O_D_6
Gen-060;VAD2;47;ONU;Local;144;VAD2-47_O_L_144
Gen-061;MDV1;15;ONU;Distal;6;MDV1-15_O_D_6
Gen-063;MDV1;46;ONU;Distal;72;MDV1-46_O_D_72
Gen-065;MDV1;31;ONU;Distal;72;MDV1-31_O_D_72
Gen-066;MDV1;50;ONU;Local;6;MDV1-50_O_L_6
Gen-067;MDV2.3;30;ONU;Distal;24;MDV2.3-30_O_D_24
Gen-071;MDV2.3;49;ONU;Local;6;MDV2.3-49_O_L_6
Gen-073;MDV2.3;17;ONU;Local;24;MDV2.3-17_O_L_24
Gen-075;MDV2.3;19;ONU;Local;144;MDV2.3-19_O_L_144
Gen-080;MDV2.3;50;ONU;Distal;144;MDV2.3-50_O_D_144
Gen-081;MDV1;13;ONU;Local;6;MDV1-13_O_L_6
Gen-085;MDV2.3;45;ONU;Local;24;MDV2.3-45_O_L_24
Gen-086;MDV2.3;13;ONU;Local;24;MDV2.3-13_O_L_24
Gen-090;MDV2.3;28;ONU;Distal;72;MDV2.3-28_O_D_72
Gen-091;MDV2.3;28;ONU;Local;72;MDV2.3-28_O_L_72
Gen-094;VAD2;45;ONU;Distal;24;VAD2-45_O_D_24
Gen-095;MDV2.3;18;ONU;Distal;6;MDV2.3-18_O_D_6
Gen-098;VAD2;25;ONU;Distal;24;VAD2-25_O_D_24
Gen-101;VAD2;26;ONU;Local;24;VAD2-26_O_L_24
Gen-103;MDV1;33;ONU;Local;24;MDV1-33_O_L_24
Gen-104;MDV1;24;ONU;Local;144;MDV1-24_O_L_144
Gen-107;MDV1;45;ONU;Distal;144;MDV1-45_O_D_144
Gen-113;MDV1;18;ONU;Local;72;MDV1-18_O_L_72
Gen-114;VAD2;18;ONU;Local;144;VAD2-18_O_L_144
Gen-116;VAD2;48;ONU;Local;72;VAD2-48_O_L_72
Gen-117;MDV1;49;ONU;Distal;72;MDV1-49_O_D_72
Gen-118;MDV2.3;50;ONU;Local;144;MDV2.3-50_O_L_144
Gen-119;MDV1;15;ONU;Local;6;MDV1-15_O_L_6
Gen-120;VAD2;14;ONU;Local;6;VAD2-14_O_L_6
Gen-122;VAD2;35;ONU;Local;144;VAD2-35_O_L_144
Gen-123;MDV2.3;44;ONU;Local;72;MDV2.3-44_O_L_72
Gen-124;VAD2;35;ONU;Distal;144;VAD2-35_O_D_144
Gen-125;VAD2;28;ONU;Local;24;VAD2-28_O_L_24
Gen-126;VAD2;23;ONU;Local;144;VAD2-23_O_L_144
Gen-127;VAD2;47;ONU;Distal;144;VAD2-47_O_D_144
Gen-128;VAD2;15;ONU;Local;6;VAD2-15_O_L_6
Gen-134;MDV1;44;ONU;Distal;24;MDV1-44_O_D_24
Gen-135;MDV1;16;ONU;Distal;24;MDV1-16_O_D_24
Gen-136;VAD2;25;ONU;Local;24;VAD2-25_O_L_24
Gen-137;VAD2;15;ONU;Distal;6;VAD2-15_O_D_6
Gen-139;MDV1;44;ONU;Local;24;MDV1-44_O_L_24
Gen-140;VAD2;29;ONU;Distal;6;VAD2-29_O_D_6
Gen-141;VAD2;44;ONU;Local;6;VAD2-44_O_L_6
Gen-142;MDV2.3;15;ONU;Distal;72;MDV2.3-15_O_D_72
Gen-145;VAD2;22;ONU;Local;72;VAD2-22_O_L_72
Gen-148;MDV2.3;30;ONU;Local;24;MDV2.3-30_O_L_24
Gen-150;VAD2;33;ONU;Local;72;VAD2-33_O_L_72
Gen-152;MDV1;31;ONU;Local;72;MDV1-31_O_L_72
Gen-154;MDV2.3;15;ONU;Local;72;MDV2.3-15_O_L_72
Gen-155;MDV2.3;44;ONU;Distal;72;MDV2.3-44_O_D_72
Gen-157;MDV1;24;ONU;Distal;144;MDV1-24_O_D_144
Gen-159;MDV2.3;49;ONU;Distal;6;MDV2.3-49_O_D_6
Gen-160;MDV2.3;19;ONU;Distal;144;MDV2.3-19_O_D_144
Gen-163;MDV1;23;ONU;Local;6;MDV1-23_O_L_6
Gen-165;MDV2.3;46;ONU;Local;144;MDV2.3-46_O_L_144
Gen-170;MDV1;33;ONU;Distal;24;MDV1-33_O_D_24
Gen-175;VAD2;22;ONU;Distal;72;VAD2-22_O_D_72
Gen-178;MDV2.3;26;ONU;Distal;144;MDV2.3-26_O_D_144
Gen-179;MDV1;45;ONU;Local;144;MDV1-45_O_L_144
Gen-180;MDV1;41;ONU;Distal;24;MDV1-41_O_D_24
Gen-182;VAD2;48;ONU;Distal;72;VAD2-48_O_D_72
Gen-184;MDV2.3;21;ONU;Local;6;MDV2.3-21_O_L_6
Gen-185;MDV2.3;13;ONU;Distal;24;MDV2.3-13_O_D_24
Gen-191;MDV2.3;45;ONU;Distal;24;MDV2.3-45_O_D_24
Gen-193;MDV1;49;ONU;Local;72;MDV1-49_O_L_72
Gen-194;VAD2;26;ONU;Distal;24;VAD2-26_O_D_24
